Date,Open,High,Low,Close,Adj Close,Volume
2013-12-10,38.820000,39.009998,38.450001,38.889999,35.665485,1082900
2013-12-11,38.779999,39.000000,38.619999,38.709999,35.619480,1139100
2013-12-12,38.740002,39.020000,38.529999,38.790001,35.693092,1453000
2013-12-13,38.959999,38.970001,38.549999,38.549999,35.472252,969700
2013-12-16,38.730000,38.959999,38.470001,38.720001,35.628677,1170000
2013-12-17,38.720001,39.330002,38.720001,39.310001,36.171577,1048800
2013-12-18,39.250000,39.599998,38.540001,39.599998,36.438419,1611700
2013-12-19,39.450001,39.580002,39.230000,39.459999,36.309601,860900
2013-12-20,39.599998,40.080002,39.389999,39.959999,36.769680,1700100
2013-12-23,39.369999,39.849998,39.360001,39.759998,36.585644,879300
2013-12-24,39.720001,39.959999,39.320000,39.910000,36.723679,348000
2013-12-26,40.119999,40.230000,39.820000,39.980000,36.788078,514500
2013-12-27,39.970001,40.130001,39.759998,39.919998,36.732864,516200
2013-12-30,39.810001,39.970001,39.610001,39.830002,36.650063,615800
2013-12-31,39.959999,40.150002,39.619999,39.799999,36.622463,555600
2014-01-02,39.889999,39.959999,39.150002,39.200001,36.070358,1051300
2014-01-03,39.290001,39.980000,39.290001,39.779999,36.604061,1222300
2014-01-06,39.689999,40.049999,39.500000,39.880001,36.696068,1525000
2014-01-07,40.110001,40.369999,39.799999,40.070000,36.870899,917300
2014-01-08,40.700001,40.740002,40.020000,40.180000,36.972111,1714900
2014-01-09,40.480000,40.740002,40.150002,40.240002,37.027332,833200
2014-01-10,40.240002,40.529999,39.830002,39.919998,36.732864,1054700
2014-01-13,39.720001,40.270000,38.910000,39.150002,36.024353,1072700
2014-01-14,39.320000,39.799999,39.209999,39.740002,36.567238,836500
2014-01-15,39.889999,39.910000,39.080002,39.520000,36.364811,1066700
2014-01-16,39.380001,39.980000,39.380001,39.980000,36.788078,1860600
2014-01-17,39.950001,40.000000,39.430000,39.720001,36.548836,1042800
2014-01-21,39.790001,40.119999,39.279999,39.400002,36.254395,1212100
2014-01-22,39.349998,39.750000,39.209999,39.500000,36.346401,998300
2014-01-23,39.310001,39.490002,38.439999,38.700001,35.610271,1219900
2014-01-24,38.310001,38.599998,37.580002,37.599998,34.598087,1299600
2014-01-27,37.830002,38.080002,37.189999,37.320000,34.340446,1003100
2014-01-28,37.200001,37.820000,37.169998,37.650002,34.644100,1603500
2014-01-29,37.419998,37.759998,37.060001,37.200001,34.230026,1493000
2014-01-30,37.400002,38.630001,37.400002,38.410000,35.343422,1441900
2014-01-31,37.900002,38.650002,37.509998,38.150002,35.104183,1514000
2014-02-03,38.160000,38.529999,37.080002,37.130001,34.165615,1492400
2014-02-04,37.099998,38.169998,36.369999,37.790001,34.772930,1938400
2014-02-05,37.299999,38.330002,36.849998,38.150002,35.104183,1430600
2014-02-06,38.369999,38.599998,37.730000,37.849998,34.828129,1366700
2014-02-07,38.000000,38.080002,37.459999,37.540001,34.542896,1913100
2014-02-10,37.610001,37.730000,37.349998,37.509998,34.515282,1820100
2014-02-11,37.509998,38.529999,37.509998,38.369999,35.306625,1066200
2014-02-12,38.340000,38.730000,38.200001,38.590000,35.509056,731600
2014-02-13,38.459999,38.849998,38.299999,38.689999,35.601074,391500
2014-02-14,38.599998,38.770000,38.320000,38.720001,35.628677,590700
2014-02-18,38.910000,39.619999,38.730000,39.110001,35.987541,1064500
2014-02-19,39.200001,39.790001,38.990002,39.570000,36.410809,1907700
2014-02-20,39.419998,39.639999,39.180000,39.480000,36.327995,957700
2014-02-21,39.430000,39.740002,38.889999,38.930000,35.821903,1621600
2014-02-24,38.799999,39.650002,38.639999,39.119999,35.996738,1063100
2014-02-25,38.970001,39.400002,38.680000,39.070000,35.950741,1021900
2014-02-26,39.040001,39.299999,38.310001,38.349998,35.288219,1713100
2014-02-27,38.290001,38.549999,38.070000,38.419998,35.352627,1481100
2014-02-28,38.500000,39.060001,38.259998,38.389999,35.325024,1133500
2014-03-03,37.930000,38.680000,37.849998,38.349998,35.288219,1325800
2014-03-04,39.549999,39.900002,39.080002,39.820000,36.640850,1557100
2014-03-05,39.340000,40.080002,38.689999,40.040001,36.843300,1075300
2014-03-06,39.970001,40.950001,39.919998,40.700001,37.450600,1245400
2014-03-07,40.759998,41.250000,40.560001,40.790001,37.533409,1316300
2014-03-10,40.669998,40.889999,40.209999,40.270000,37.054932,1107200
2014-03-11,40.119999,40.369999,39.500000,39.549999,36.392414,1227700
2014-03-12,39.349998,39.540001,38.830002,39.400002,36.373947,1094300
2014-03-13,39.470001,39.689999,38.790001,38.820000,35.838501,1172300
2014-03-14,38.790001,39.410000,38.520000,39.330002,36.309319,1840900
2014-03-17,39.490002,39.900002,39.369999,39.730000,36.678600,902000
2014-03-18,39.430000,39.730000,38.130001,38.500000,35.543076,2938900
2014-03-19,38.580002,38.750000,37.299999,37.500000,34.619877,2710100
2014-03-20,37.430000,37.680000,37.290001,37.490002,34.610641,2241500
2014-03-21,37.959999,37.970001,37.320000,37.540001,34.656807,2400600
2014-03-24,37.820000,38.160000,37.459999,38.090000,35.164558,2142300
2014-03-25,38.209999,38.599998,37.740002,38.150002,35.219955,1355700
2014-03-26,38.310001,38.470001,37.560001,37.599998,34.712181,1526600
2014-03-27,37.630001,37.910000,36.360001,37.139999,34.287521,2484200
2014-03-28,37.240002,37.660000,36.580002,36.720001,33.899780,1971800
2014-03-31,36.639999,37.630001,36.639999,36.939999,34.102879,2167600
2014-04-01,37.310001,37.310001,35.509998,35.779999,33.031967,5836400
2014-04-02,36.020000,37.110001,35.630001,36.980000,34.139816,2352600
2014-04-03,37.099998,37.330002,36.090000,36.439999,33.641285,2463000
2014-04-04,36.619999,36.830002,35.000000,36.299999,33.512032,4030900
2014-04-07,36.299999,36.400002,35.639999,35.790001,33.041214,4113400
2014-04-08,35.820000,36.270000,34.680000,34.810001,32.136478,3528600
2014-04-09,33.889999,34.959999,33.680000,34.880001,32.201103,3826200
2014-04-10,34.900002,35.720001,34.270000,34.889999,32.210327,4076100
2014-04-11,34.810001,35.230000,34.040001,34.770000,32.099548,3862600
2014-04-14,34.799999,35.369999,34.060001,34.410000,31.767193,1999700
2014-04-15,34.360001,34.520000,33.490002,34.130001,31.508705,2976600
